player1,player2,enemy1,enemy2,result
Wood,Normal,Normal,Water,1
Water,Dirt,Fire,Dirt,1
Water,Fire,Wood,Dirt,1
Metal,Fire,Metal,Water,-1
Fire,Water,Dirt,Water,1
Wood,Water,Wood,Metal,1
Dirt,Fire,Wood,Dirt,-1
Normal,Fire,Metal,Normal,1
Normal,Wood,Metal,Water,1
Dirt,Water,Normal,Wood,1
Normal,Water,Normal,Water,1
Fire,Dirt,Normal,Metal,1
Fire,Metal,Dirt,Metal,1
Normal,Wood,Metal,Normal,1
Water,Dirt,Fire,Water,1
Wood,Water,Normal,Wood,1
Metal,Wood,Water,Dirt,1
Metal,Wood,Dirt,Fire,1
Wood,Dirt,Metal,Fire,-1
Water,Wood,Normal,Fire,1
Fire,Wood,Wood,Dirt,1
Metal,Normal,Wood,Dirt,1
Dirt,Fire,Normal,Wood,1
Water,Dirt,Fire,Wood,1
Normal,Fire,Dirt,Water,-1
Water,Normal,Metal,Fire,1
Fire,Metal,Water,Normal,-1
Normal,Dirt,Fire,Normal,1
Normal,Fire,Wood,Metal,1
Dirt,Fire,Metal,Normal,1
Normal,Fire,Metal,Dirt,1
Fire,Dirt,Metal,Normal,1
Fire,Metal,Normal,Wood,1
Water,Fire,Fire,Metal,1
Fire,Wood,Metal,Water,1
Dirt,Wood,Wood,Metal,-1
Metal,Normal,Water,Metal,1
Wood,Normal,Fire,Normal,1
Dirt,Metal,Wood,Metal,-1
Water,Normal,Fire,Metal,1
Fire,Water,Fire,Water,1
Dirt,Normal,Normal,Dirt,1
Dirt,Wood,Metal,Fire,1
Dirt,Water,Water,Wood,1
Metal,Dirt,Water,Dirt,1
Fire,Metal,Fire,Water,1
Water,Wood,Water,Wood,1
Normal,Wood,Metal,Fire,1
Wood,Water,Dirt,Water,1
Wood,Water,Metal,Dirt,-1
Wood,Normal,Water,Metal,1
Fire,Water,Normal,Dirt,-1
Dirt,Fire,Dirt,Water,-1
Dirt,Normal,Dirt,Normal,1
Fire,Dirt,Dirt,Wood,-1
Metal,Wood,Water,Dirt,1
Wood,Fire,Dirt,Water,1
Dirt,Fire,Dirt,Fire,1
Normal,Metal,Dirt,Water,1
Normal,Water,Metal,Water,1
Metal,Dirt,Water,Dirt,1
Water,Metal,Metal,Water,1
Wood,Normal,Fire,Wood,1
Water,Dirt,Normal,Water,1
Dirt,Wood,Normal,Fire,1
Fire,Dirt,Water,Metal,-1
Water,Normal,Dirt,Wood,-1
Water,Dirt,Dirt,Fire,-1
Dirt,Water,Water,Metal,1
Normal,Wood,Normal,Fire,1
Wood,Water,Metal,Dirt,-1
Water,Normal,Fire,Normal,1
Metal,Dirt,Metal,Wood,-1
Wood,Dirt,Fire,Water,1
Wood,Water,Normal,Metal,1
Wood,Fire,Metal,Fire,-1
Fire,Dirt,Dirt,Water,1
Metal,Fire,Fire,Water,-1
Wood,Metal,Water,Wood,1
Wood,Dirt,Normal,Dirt,1
Normal,Fire,Wood,Dirt,1
Wood,Metal,Water,Normal,1
Water,Fire,Water,Normal,1
Water,Fire,Water,Wood,1
Normal,Dirt,Water,Wood,-1
Normal,Dirt,Wood,Normal,1
Normal,Wood,Water,Fire,1
Normal,Wood,Dirt,Fire,1
Water,Dirt,Metal,Normal,1
Normal,Water,Wood,Metal,1
Normal,Metal,Metal,Normal,1
Normal,Water,Normal,Dirt,-1
Normal,Water,Metal,Wood,1
Dirt,Water,Normal,Water,1
Metal,Fire,Water,Normal,1
Wood,Water,Wood,Dirt,-1
Normal,Wood,Dirt,Wood,1
Water,Dirt,Water,Wood,-1
Metal,Wood,Normal,Water,1
Water,Metal,Fire,Metal,1
Normal,Metal,Normal,Water,1
Normal,Dirt,Dirt,Wood,-1
Water,Dirt,Metal,Dirt,1
Water,Dirt,Normal,Fire,1
Wood,Water,Metal,Fire,1
Water,Dirt,Wood,Water,1
Dirt,Metal,Water,Wood,1
Dirt,Wood,Normal,Water,1
Dirt,Wood,Metal,Normal,1
Normal,Dirt,Metal,Fire,1
Wood,Metal,Water,Wood,1
Metal,Wood,Dirt,Water,1
Dirt,Metal,Water,Metal,1
Dirt,Water,Dirt,Metal,1
Wood,Fire,Water,Dirt,1
Metal,Water,Metal,Fire,1
Normal,Wood,Fire,Water,1
Normal,Wood,Wood,Water,1
Water,Normal,Water,Normal,1
Fire,Metal,Wood,Fire,-1
Water,Dirt,Metal,Fire,1
Normal,Wood,Water,Fire,1
Wood,Dirt,Water,Dirt,1
Water,Metal,Fire,Metal,1
Fire,Water,Wood,Normal,1
Water,Dirt,Wood,Normal,1
Fire,Dirt,Water,Fire,-1
Dirt,Water,Metal,Normal,1
Fire,Wood,Normal,Wood,1
Normal,Metal,Wood,Dirt,1
Wood,Metal,Metal,Normal,-1
Fire,Wood,Fire,Wood,1
Fire,Normal,Dirt,Wood,1
Wood,Metal,Fire,Metal,1
Metal,Normal,Dirt,Metal,1
Fire,Metal,Water,Metal,-1
Metal,Normal,Metal,Water,1
Water,Normal,Wood,Fire,1
Metal,Water,Normal,Fire,1
Water,Fire,Wood,Fire,1
Water,Wood,Metal,Wood,1
Normal,Fire,Fire,Wood,1
Normal,Water,Metal,Normal,1
Dirt,Wood,Dirt,Water,1
Water,Wood,Water,Metal,-1
Dirt,Normal,Water,Fire,1
Dirt,Wood,Fire,Water,1
Metal,Dirt,Dirt,Water,1
Normal,Fire,Metal,Water,-1
Dirt,Water,Dirt,Water,1
Water,Metal,Normal,Metal,1
Water,Normal,Dirt,Fire,-1
Dirt,Normal,Normal,Metal,1
Water,Normal,Wood,Metal,1
Dirt,Metal,Wood,Water,-1
Metal,Water,Water,Dirt,-1
Metal,Water,Normal,Fire,1
Wood,Water,Fire,Metal,1
Metal,Water,Water,Dirt,-1
Water,Fire,Dirt,Normal,-1
Metal,Wood,Fire,Wood,-1
Fire,Wood,Normal,Wood,1
Normal,Metal,Metal,Wood,1
Fire,Wood,Fire,Water,1
Normal,Water,Normal,Dirt,-1
Metal,Water,Water,Normal,1
Fire,Metal,Water,Normal,-1
Fire,Wood,Dirt,Water,1
Metal,Dirt,Wood,Dirt,1
Water,Dirt,Metal,Wood,-1
Water,Dirt,Metal,Dirt,1
Water,Wood,Normal,Metal,-1
Fire,Wood,Fire,Wood,1
Wood,Metal,Dirt,Water,1
Normal,Water,Water,Metal,1
Dirt,Fire,Dirt,Metal,1
Dirt,Fire,Metal,Dirt,1
Normal,Wood,Fire,Normal,1
Fire,Dirt,Water,Fire,-1
Normal,Water,Wood,Water,1
Dirt,Fire,Water,Metal,1
Metal,Normal,Dirt,Normal,1
Fire,Wood,Water,Metal,-1
Water,Wood,Metal,Normal,1
Normal,Wood,Dirt,Fire,1
Wood,Fire,Dirt,Metal,1
Wood,Water,Fire,Water,1
Dirt,Water,Water,Metal,1
Normal,Dirt,Wood,Metal,1
Water,Normal,Fire,Dirt,1
Metal,Normal,Wood,Water,1
Metal,Wood,Normal,Water,1
Normal,Dirt,Normal,Wood,-1
Fire,Dirt,Wood,Normal,1
Metal,Normal,Water,Metal,1
Water,Fire,Water,Fire,1
Dirt,Fire,Wood,Normal,-1
Water,Dirt,Fire,Water,1
Wood,Dirt,Dirt,Wood,1
Fire,Dirt,Normal,Water,1
Normal,Water,Metal,Normal,1
Dirt,Water,Wood,Normal,-1
Metal,Normal,Normal,Metal,1
Dirt,Water,Metal,Water,1
Wood,Water,Metal,Normal,-1
Fire,Water,Wood,Metal,1
Metal,Fire,Dirt,Metal,1
Fire,Normal,Fire,Normal,1
Fire,Water,Water,Wood,-1
Metal,Wood,Fire,Water,-1
Dirt,Fire,Dirt,Metal,1
Fire,Normal,Normal,Metal,1
Water,Dirt,Metal,Normal,1
Wood,Metal,Normal,Dirt,1
Wood,Metal,Normal,Metal,1
Metal,Wood,Water,Normal,1
Normal,Fire,Metal,Water,-1
Metal,Fire,Fire,Normal,-1
Metal,Dirt,Fire,Metal,-1
Water,Wood,Normal,Fire,1
Dirt,Water,Fire,Normal,1
Wood,Metal,Wood,Metal,1
Normal,Dirt,Normal,Wood,-1
Metal,Water,Wood,Water,1
Dirt,Metal,Metal,Dirt,1
Wood,Water,Dirt,Wood,1
Fire,Dirt,Dirt,Metal,1
Water,Wood,Water,Wood,1
Water,Wood,Wood,Normal,1
Dirt,Normal,Normal,Wood,1
Fire,Wood,Metal,Fire,1
Water,Metal,Normal,Metal,1
Water,Dirt,Metal,Normal,1
Normal,Wood,Dirt,Wood,1
Fire,Metal,Dirt,Wood,1
Wood,Water,Wood,Dirt,-1
Dirt,Metal,Dirt,Fire,-1
Water,Normal,Dirt,Normal,-1
Water,Dirt,Wood,Normal,1
Fire,Dirt,Metal,Dirt,1
Fire,Metal,Dirt,Water,1
Water,Fire,Dirt,Water,-1
Wood,Fire,Normal,Dirt,1
Normal,Fire,Dirt,Metal,1
Wood,Metal,Wood,Water,1
Normal,Water,Water,Normal,1
Water,Fire,Wood,Normal,1
Metal,Fire,Water,Normal,1
Wood,Water,Water,Metal,1
Water,Wood,Metal,Water,1
Metal,Dirt,Wood,Metal,1
Dirt,Normal,Dirt,Metal,1
Metal,Dirt,Normal,Metal,1
Normal,Fire,Fire,Wood,1
Wood,Water,Fire,Water,1
Water,Metal,Wood,Dirt,1
Wood,Water,Metal,Water,-1
Water,Fire,Dirt,Wood,-1
Fire,Metal,Water,Fire,-1
Dirt,Water,Wood,Normal,-1
Wood,Metal,Dirt,Wood,1
Wood,Water,Fire,Dirt,-1
Normal,Wood,Water,Fire,1
Normal,Wood,Metal,Dirt,1
Wood,Water,Normal,Water,1
Water,Dirt,Wood,Dirt,1
Metal,Water,Dirt,Wood,1
Metal,Normal,Metal,Fire,1
Water,Normal,Normal,Fire,1
Fire,Water,Wood,Normal,1
Fire,Wood,Normal,Fire,1
Metal,Wood,Water,Fire,1
Wood,Normal,Water,Normal,1
Wood,Metal,Water,Normal,1
Metal,Normal,Normal,Dirt,1
Wood,Dirt,Water,Metal,1
Metal,Dirt,Wood,Water,1
Dirt,Fire,Water,Dirt,1
Normal,Dirt,Metal,Dirt,1
Water,Normal,Dirt,Metal,-1
Normal,Metal,Normal,Dirt,1
Wood,Metal,Wood,Dirt,1
Wood,Dirt,Water,Normal,1
Fire,Metal,Dirt,Wood,1
Water,Metal,Water,Normal,1
Dirt,Normal,Water,Metal,1
Water,Fire,Metal,Wood,1
Wood,Fire,Wood,Metal,1
Dirt,Normal,Water,Fire,1
Water,Metal,Fire,Normal,1
Metal,Dirt,Dirt,Wood,-1
Fire,Wood,Fire,Wood,1
Wood,Metal,Water,Metal,1
Dirt,Fire,Dirt,Wood,1
Fire,Metal,Fire,Wood,1
Wood,Metal,Metal,Normal,-1
Fire,Normal,Water,Normal,-1
Dirt,Fire,Wood,Water,-1
Normal,Dirt,Normal,Wood,-1
Wood,Normal,Metal,Normal,-1
Wood,Normal,Fire,Water,1
Water,Metal,Fire,Metal,1
Normal,Metal,Wood,Normal,1
Fire,Metal,Water,Metal,-1
Metal,Wood,Fire,Wood,-1
Normal,Fire,Dirt,Fire,1
Water,Normal,Normal,Fire,1
Wood,Water,Fire,Normal,1
Water,Dirt,Water,Dirt,1
Wood,Normal,Dirt,Normal,1
Normal,Water,Water,Wood,1
Fire,Dirt,Fire,Normal,1
Water,Fire,Fire,Wood,1
Fire,Normal,Water,Normal,-1
Fire,Dirt,Dirt,Metal,1
Fire,Normal,Fire,Metal,1
Normal,Wood,Wood,Dirt,1
Metal,Water,Wood,Metal,1
Wood,Fire,Dirt,Normal,1
Fire,Normal,Fire,Wood,1
Dirt,Normal,Normal,Fire,1
Dirt,Water,Fire,Water,1
Normal,Fire,Water,Fire,1
Metal,Water,Wood,Dirt,1
Fire,Normal,Wood,Water,1
Wood,Fire,Normal,Dirt,1
Metal,Normal,Wood,Dirt,1
Dirt,Metal,Normal,Wood,1
Fire,Normal,Normal,Dirt,1
Metal,Water,Wood,Water,1
Wood,Metal,Dirt,Water,1
Metal,Wood,Normal,Metal,-1
Fire,Dirt,Dirt,Normal,1
Water,Fire,Normal,Dirt,1
Metal,Wood,Fire,Metal,-1
Water,Metal,Water,Normal,1
Wood,Metal,Wood,Water,1
Water,Fire,Normal,Dirt,1
Dirt,Wood,Fire,Water,1
Fire,Dirt,Water,Normal,-1
Fire,Normal,Metal,Fire,1
Normal,Water,Metal,Fire,1
Fire,Wood,Metal,Normal,1
Fire,Water,Water,Fire,1
Wood,Water,Metal,Wood,-1
Dirt,Fire,Normal,Water,-1
Dirt,Water,Water,Dirt,1
Metal,Wood,Normal,Metal,-1
Water,Fire,Water,Fire,1
Metal,Normal,Dirt,Wood,1
Normal,Metal,Metal,Normal,1
Water,Fire,Normal,Dirt,1
Water,Fire,Fire,Metal,1
Metal,Dirt,Metal,Normal,1
Dirt,Water,Normal,Water,1
Water,Dirt,Metal,Fire,1
Dirt,Water,Fire,Normal,1
Water,Dirt,Fire,Normal,1
Metal,Water,Fire,Dirt,-1
Wood,Water,Fire,Wood,1
Dirt,Wood,Fire,Normal,1
Wood,Dirt,Dirt,Water,1
Normal,Wood,Normal,Water,1
Wood,Fire,Wood,Water,-1
Dirt,Water,Dirt,Metal,1
Normal,Metal,Water,Normal,1
Fire,Metal,Normal,Water,1
Wood,Metal,Water,Dirt,1
Normal,Metal,Fire,Dirt,1
Water,Fire,Dirt,Normal,-1
Fire,Wood,Fire,Metal,-1
Water,Normal,Metal,Normal,1
Water,Metal,Normal,Metal,1
Water,Wood,Fire,Normal,1
Metal,Water,Water,Wood,1
Wood,Water,Wood,Dirt,-1
Normal,Dirt,Wood,Metal,1
Water,Fire,Fire,Dirt,1
Normal,Dirt,Wood,Fire,1
Metal,Fire,Normal,Fire,1
Fire,Water,Metal,Dirt,1
Wood,Metal,Dirt,Wood,1
Normal,Fire,Metal,Wood,1
Dirt,Metal,Normal,Dirt,1
Normal,Metal,Dirt,Fire,-1
Water,Metal,Water,Metal,1
Dirt,Wood,Dirt,Metal,-1
Dirt,Wood,Water,Fire,1
Wood,Normal,Metal,Wood,-1
Wood,Water,Fire,Wood,1
Wood,Normal,Normal,Metal,1
Wood,Fire,Dirt,Fire,1
Normal,Dirt,Metal,Dirt,1
Dirt,Water,Normal,Metal,1
Dirt,Fire,Dirt,Wood,1
Water,Metal,Dirt,Water,-1
Fire,Normal,Metal,Water,1
Fire,Wood,Normal,Water,1
Fire,Wood,Fire,Normal,1
Fire,Dirt,Metal,Wood,1
Metal,Wood,Water,Dirt,1
Normal,Fire,Metal,Normal,1
Dirt,Normal,Metal,Water,1
Metal,Water,Water,Metal,1
Dirt,Water,Metal,Normal,1
Normal,Water,Water,Fire,1
Water,Dirt,Metal,Fire,1
Wood,Dirt,Metal,Dirt,-1
Water,Normal,Fire,Water,1
Wood,Water,Normal,Fire,1
Dirt,Water,Dirt,Wood,1
Wood,Normal,Dirt,Water,1
Dirt,Water,Water,Wood,1
Dirt,Normal,Wood,Water,-1
Metal,Water,Wood,Metal,1
Wood,Fire,Dirt,Wood,1
Metal,Wood,Fire,Water,-1
Fire,Metal,Metal,Normal,1
Dirt,Fire,Water,Wood,1
Dirt,Wood,Wood,Fire,-1
Normal,Dirt,Water,Fire,1
Fire,Normal,Dirt,Fire,1
Water,Wood,Wood,Normal,1
Fire,Wood,Metal,Fire,1
Wood,Water,Wood,Fire,1
Wood,Metal,Dirt,Wood,1
Wood,Normal,Water,Wood,1
Dirt,Metal,Normal,Water,1
Fire,Metal,Dirt,Wood,1
Wood,Normal,Normal,Water,1
Dirt,Metal,Metal,Fire,-1
Wood,Metal,Water,Fire,-1
Wood,Fire,Fire,Normal,1
Fire,Metal,Metal,Normal,1
Fire,Wood,Normal,Metal,-1
Water,Wood,Water,Fire,1
Fire,Dirt,Wood,Dirt,1
Fire,Wood,Water,Wood,-1
Normal,Dirt,Wood,Dirt,1
Dirt,Normal,Dirt,Normal,1
Wood,Normal,Fire,Normal,1
Metal,Water,Wood,Metal,1
Fire,Dirt,Fire,Dirt,1
Water,Normal,Wood,Fire,1
Wood,Water,Fire,Normal,1
Metal,Dirt,Metal,Fire,1
Normal,Wood,Metal,Water,1
Dirt,Normal,Wood,Normal,-1
Water,Fire,Normal,Fire,1
Dirt,Wood,Metal,Normal,1
Dirt,Wood,Metal,Water,1
Fire,Wood,Water,Metal,-1
Fire,Water,Normal,Dirt,-1
Dirt,Fire,Normal,Fire,1
Water,Dirt,Metal,Fire,1
Fire,Water,Wood,Fire,1
Wood,Fire,Fire,Dirt,1
Normal,Metal,Wood,Fire,-1
Wood,Fire,Wood,Dirt,1
Fire,Water,Normal,Fire,1
Wood,Water,Water,Dirt,-1
Wood,Fire,Dirt,Wood,1
Wood,Fire,Fire,Water,-1
Wood,Water,Dirt,Wood,1
Normal,Fire,Water,Normal,1
Metal,Wood,Fire,Normal,-1
Wood,Fire,Metal,Water,-1
Wood,Fire,Normal,Metal,1
Fire,Normal,Dirt,Metal,1
Metal,Fire,Normal,Metal,1
Water,Fire,Normal,Metal,1
Fire,Metal,Metal,Wood,1
Wood,Water,Dirt,Wood,1
Dirt,Normal,Wood,Dirt,-1
Wood,Normal,Normal,Metal,1
Normal,Fire,Wood,Dirt,1
Water,Wood,Dirt,Fire,-1
Wood,Normal,Normal,Dirt,1
Wood,Fire,Wood,Fire,1
Metal,Water,Dirt,Fire,1
Wood,Dirt,Fire,Water,1
Normal,Fire,Fire,Dirt,1
Fire,Metal,Wood,Metal,1
Water,Fire,Dirt,Fire,-1
Fire,Wood,Wood,Metal,-1
Fire,Water,Metal,Water,1
Normal,Wood,Normal,Wood,1
Fire,Dirt,Metal,Water,1
Wood,Normal,Metal,Water,-1
Metal,Fire,Water,Dirt,1
Normal,Dirt,Normal,Metal,1
Fire,Water,Water,Wood,-1
Wood,Water,Metal,Fire,1
Water,Wood,Dirt,Normal,-1
Normal,Wood,Water,Fire,1
Fire,Water,Dirt,Fire,1
Water,Normal,Metal,Dirt,1
Dirt,Water,Wood,Metal,-1
Metal,Normal,Normal,Water,1
Metal,Dirt,Normal,Metal,1
Metal,Wood,Normal,Wood,1
Metal,Dirt,Wood,Metal,1
Normal,Fire,Fire,Dirt,1
Normal,Dirt,Water,Wood,-1
Fire,Normal,Dirt,Metal,1
Metal,Water,Normal,Dirt,-1
Dirt,Metal,Metal,Dirt,1
Wood,Metal,Dirt,Wood,1
Normal,Water,Wood,Metal,1
Dirt,Normal,Metal,Water,1
Wood,Fire,Wood,Normal,1
Water,Wood,Metal,Dirt,1
Wood,Fire,Water,Dirt,1
Wood,Fire,Fire,Water,-1
Fire,Wood,Normal,Water,1
Dirt,Normal,Dirt,Metal,1
Fire,Normal,Metal,Fire,1
Normal,Dirt,Fire,Wood,-1
Fire,Normal,Water,Metal,-1
Water,Wood,Wood,Dirt,1
Fire,Wood,Wood,Water,1
Metal,Fire,Fire,Metal,1
Wood,Normal,Water,Dirt,1
Normal,Water,Water,Wood,1
Dirt,Water,Water,Normal,1
Water,Wood,Metal,Fire,1
Fire,Dirt,Water,Metal,-1
Water,Fire,Normal,Fire,1
Water,Wood,Wood,Dirt,1
Water,Wood,Wood,Metal,-1
Metal,Water,Metal,Dirt,-1
Dirt,Metal,Wood,Water,-1
Fire,Water,Metal,Normal,1
Dirt,Fire,Dirt,Fire,1
Water,Wood,Metal,Wood,1
Water,Fire,Fire,Water,1
Wood,Dirt,Wood,Metal,1
Metal,Water,Wood,Dirt,1
Wood,Fire,Dirt,Fire,1
Water,Wood,Normal,Metal,-1
Normal,Water,Wood,Fire,1
Metal,Dirt,Wood,Fire,1
Wood,Normal,Normal,Fire,1
Water,Normal,Dirt,Wood,-1
Water,Metal,Wood,Water,1
Dirt,Wood,Water,Dirt,1
Water,Dirt,Metal,Fire,1
Fire,Metal,Water,Metal,-1
Normal,Wood,Dirt,Normal,1
Normal,Dirt,Water,Dirt,1
Water,Metal,Wood,Normal,1
Water,Fire,Normal,Dirt,1
Dirt,Water,Wood,Fire,1
Metal,Dirt,Wood,Fire,1
Normal,Dirt,Dirt,Metal,1
Metal,Wood,Normal,Water,1
Normal,Metal,Normal,Metal,1
Water,Metal,Fire,Metal,1
Normal,Fire,Dirt,Wood,1
Water,Fire,Dirt,Wood,-1
Dirt,Wood,Fire,Wood,1
Dirt,Fire,Metal,Wood,1
Metal,Fire,Normal,Metal,1
Dirt,Fire,Metal,Fire,1
Metal,Wood,Normal,Metal,-1
Wood,Metal,Wood,Water,1
Metal,Dirt,Dirt,Normal,1
Water,Dirt,Fire,Dirt,1
Wood,Fire,Normal,Wood,1
Wood,Dirt,Wood,Metal,1
Fire,Wood,Metal,Wood,1
Normal,Water,Normal,Water,1
Water,Wood,Water,Wood,1
Metal,Normal,Wood,Fire,1
Wood,Fire,Dirt,Normal,1
Metal,Water,Metal,Wood,1
Wood,Normal,Normal,Dirt,1
Normal,Wood,Normal,Wood,1
Metal,Normal,Normal,Water,1
Water,Metal,Metal,Water,1
Fire,Wood,Metal,Water,1
Dirt,Wood,Dirt,Wood,1
Normal,Wood,Wood,Fire,1
Fire,Dirt,Wood,Dirt,1
Metal,Fire,Normal,Fire,1
Normal,Water,Fire,Water,1
Normal,Water,Fire,Metal,1
Normal,Wood,Metal,Dirt,1
Dirt,Fire,Normal,Metal,1
Metal,Wood,Water,Normal,1
Normal,Dirt,Fire,Metal,1
Water,Dirt,Water,Metal,1
Water,Metal,Metal,Water,1
Dirt,Wood,Water,Dirt,1
Wood,Fire,Wood,Water,-1
Normal,Water,Water,Normal,1
Wood,Dirt,Normal,Water,1
Wood,Normal,Dirt,Fire,1
Metal,Wood,Dirt,Metal,-1
Metal,Fire,Dirt,Normal,1
Wood,Fire,Normal,Dirt,1
Water,Fire,Water,Normal,1
Water,Metal,Dirt,Metal,-1
Metal,Wood,Water,Metal,-1
Normal,Water,Normal,Fire,1
Fire,Dirt,Dirt,Wood,-1
Metal,Dirt,Wood,Fire,1
Metal,Wood,Water,Wood,1
Metal,Wood,Normal,Dirt,1
Wood,Metal,Normal,Fire,-1
Metal,Dirt,Fire,Wood,-1
Normal,Fire,Dirt,Fire,1
Fire,Wood,Fire,Normal,1
Fire,Metal,Normal,Metal,1
Wood,Fire,Dirt,Metal,1
Water,Normal,Dirt,Wood,-1
Normal,Wood,Metal,Dirt,1
Normal,Metal,Wood,Water,1
Water,Dirt,Fire,Metal,1
Wood,Fire,Wood,Fire,1
Metal,Water,Normal,Water,1
Fire,Metal,Fire,Wood,1
Normal,Metal,Dirt,Wood,1
Water,Fire,Fire,Metal,1
Metal,Water,Fire,Water,-1
Normal,Water,Metal,Fire,1
Metal,Fire,Normal,Metal,1
Dirt,Water,Wood,Fire,1
Metal,Normal,Metal,Normal,1
Water,Dirt,Wood,Metal,1
Fire,Dirt,Dirt,Fire,1
Normal,Wood,Wood,Fire,1
Wood,Water,Metal,Wood,-1
Dirt,Normal,Fire,Metal,1
Metal,Fire,Metal,Wood,1
Dirt,Water,Dirt,Water,1
Water,Wood,Fire,Wood,1
Water,Normal,Metal,Normal,1
Metal,Fire,Normal,Metal,1
Metal,Water,Normal,Dirt,-1
Normal,Wood,Fire,Metal,-1
Normal,Metal,Dirt,Water,1
Water,Fire,Fire,Dirt,1
Water,Normal,Normal,Fire,1
Metal,Water,Metal,Fire,1
Wood,Fire,Metal,Normal,-1
Water,Normal,Dirt,Wood,-1
Water,Fire,Dirt,Wood,-1
Water,Dirt,Wood,Dirt,1
Normal,Water,Wood,Water,1
Water,Dirt,Normal,Water,1
Wood,Normal,Normal,Metal,1
Water,Normal,Metal,Water,1
Water,Normal,Water,Metal,1
Normal,Dirt,Wood,Metal,1
Metal,Fire,Dirt,Fire,1
Fire,Wood,Water,Wood,-1
Metal,Wood,Wood,Water,1
Wood,Water,Dirt,Fire,1
Water,Metal,Dirt,Fire,-1
Normal,Dirt,Wood,Fire,1
Metal,Water,Fire,Dirt,-1
Metal,Wood,Wood,Water,1
Dirt,Wood,Fire,Normal,1
Water,Fire,Water,Dirt,1
Fire,Metal,Wood,Fire,-1
Water,Normal,Metal,Water,1
Normal,Metal,Metal,Normal,1
Wood,Fire,Metal,Normal,-1
Dirt,Fire,Fire,Dirt,1
Normal,Wood,Metal,Wood,1
Dirt,Wood,Normal,Dirt,1
Fire,Water,Normal,Metal,1
Metal,Normal,Metal,Dirt,1
Fire,Wood,Normal,Wood,1
Wood,Water,Metal,Dirt,-1
Fire,Normal,Fire,Water,1
Water,Normal,Dirt,Metal,-1
Fire,Dirt,Wood,Fire,1
Wood,Water,Water,Dirt,-1
Wood,Fire,Dirt,Water,1
Normal,Fire,Normal,Wood,1
Wood,Metal,Metal,Normal,-1
Wood,Dirt,Wood,Dirt,1
Wood,Metal,Normal,Fire,-1
Normal,Wood,Water,Normal,1
Normal,Water,Metal,Normal,1
Normal,Dirt,Dirt,Water,1
Dirt,Fire,Water,Dirt,1
Water,Dirt,Dirt,Water,1
Fire,Water,Dirt,Fire,1
Metal,Dirt,Fire,Normal,-1
Wood,Normal,Wood,Fire,1
Dirt,Water,Fire,Metal,1
Dirt,Fire,Normal,Water,-1
Normal,Water,Dirt,Normal,1
Fire,Dirt,Wood,Water,1
Water,Metal,Normal,Dirt,1
Metal,Wood,Fire,Wood,-1
Wood,Metal,Metal,Fire,-1
Wood,Water,Normal,Fire,1
Fire,Dirt,Normal,Water,1
Metal,Normal,Fire,Water,-1
Wood,Water,Normal,Dirt,-1
Fire,Metal,Dirt,Normal,1
Metal,Dirt,Water,Fire,1
Water,Normal,Dirt,Wood,-1
Metal,Fire,Wood,Normal,1
Normal,Dirt,Dirt,Normal,1
Dirt,Metal,Normal,Fire,-1
Dirt,Metal,Wood,Metal,-1
Wood,Fire,Fire,Water,-1
Wood,Metal,Fire,Dirt,1
Metal,Dirt,Dirt,Wood,-1
Fire,Wood,Metal,Fire,1
Wood,Fire,Dirt,Fire,1
Wood,Normal,Metal,Wood,-1
Normal,Dirt,Water,Dirt,1
Metal,Wood,Dirt,Fire,1
Wood,Metal,Water,Normal,1
Water,Wood,Fire,Wood,1
Water,Dirt,Dirt,Fire,-1
Water,Wood,Wood,Metal,-1
Wood,Metal,Fire,Normal,1
Fire,Normal,Wood,Fire,1
Fire,Normal,Water,Metal,-1
Dirt,Water,Wood,Normal,-1
Fire,Wood,Metal,Fire,1
Metal,Water,Normal,Wood,1
Water,Dirt,Fire,Dirt,1
Dirt,Fire,Normal,Dirt,1
Metal,Dirt,Metal,Water,1
Fire,Water,Fire,Normal,1
Fire,Water,Normal,Wood,1
Dirt,Fire,Fire,Water,-1
Dirt,Water,Water,Fire,1
Dirt,Metal,Water,Fire,1
Fire,Normal,Water,Metal,-1
Metal,Normal,Water,Metal,1
Metal,Fire,Metal,Fire,1
Metal,Water,Wood,Fire,1
Fire,Metal,Dirt,Water,1
Dirt,Metal,Wood,Water,-1
Wood,Dirt,Normal,Fire,1
Fire,Wood,Wood,Metal,-1
Fire,Metal,Fire,Dirt,1
Wood,Dirt,Dirt,Wood,1
Wood,Fire,Water,Fire,1
Wood,Water,Normal,Wood,1
Normal,Dirt,Wood,Dirt,1
Metal,Water,Water,Normal,1
Normal,Fire,Metal,Fire,1
Dirt,Wood,Normal,Wood,1
Fire,Water,Normal,Wood,1
Fire,Dirt,Metal,Normal,1
Water,Metal,Dirt,Water,-1
Normal,Metal,Metal,Fire,-1
Fire,Wood,Metal,Water,1
Water,Normal,Metal,Wood,1
Water,Metal,Water,Normal,1
Wood,Metal,Normal,Water,1
Fire,Normal,Fire,Normal,1
Normal,Dirt,Metal,Water,1
Dirt,Normal,Water,Fire,1
Wood,Normal,Normal,Dirt,1
Fire,Wood,Normal,Dirt,1
Fire,Metal,Dirt,Normal,1
Wood,Fire,Normal,Dirt,1
Dirt,Normal,Fire,Wood,1
Normal,Metal,Normal,Fire,-1
