resistivity;temperature;humidity;density;dust_capacity;particle_size;conductivity;dust_dispersiveness;formation
0,0849;18,54;5,71;755,985980;2,361676;31,486118;average;coarse visible;condensation
0,0849;-10,41;1,19;1080,093349;2,396769;39,163457;average;coarse visible;decomposition
878372,1790;25,00;5,34;1047,559578;2,370234;14,123707;good;coarse visible;decomposition
0,0849;5,18;1,19;1273,703959;2,371411;20,926073;average;coarse visible;decomposition
20336,2918;25,00;6,64;1263,105585;2,367899;22,518571;average;coarse visible;decomposition
0,0849;19,25;1,19;1117,634062;2,341954;32,248183;average;coarse visible;condensation
552307,8313;25,00;1,19;1124,744584;2,361843;49,262672;average;coarse visible;decomposition
1337283,3828;12,50;11,96;1483,364320;2,369687;46,302104;good;coarse visible;decomposition
175409,3544;20,20;5,59;1220,070395;2,400582;44,682541;average;coarse visible;decomposition
838253,4643;3,84;7,65;1262,750440;2,387554;21,747499;average;coarse microscopic;decomposition
754962,3597;4,00;7,18;1357,403537;2,362832;58,103014;average;coarse visible;condensation
0,0849;5,70;5,94;1113,291191;2,370452;19,726603;average;coarse microscopic;decomposition
325533,5829;25,00;5,54;1222,424756;2,378184;8,212144;good;coarse visible;decomposition
0,0849;-20,00;8,81;975,999024;2,366832;49,711847;average;coarse visible;decomposition
750384,1269;25,00;2,92;1160,931569;2,389223;45,322910;average;coarse visible;decomposition
0,0849;9,98;1,19;1096,106651;2,387519;19,020504;good;coarse visible;decomposition
207594,7911;0,44;10,66;1146,591833;2,369375;45,268975;low;coarse visible;decomposition
0,0849;25,00;6,92;1757,647238;2,344043;47,672441;average;coarse microscopic;decomposition
0,0849;23,70;6,25;1231,645932;2,395832;7,664355;average;coarse visible;decomposition
0,0849;17,89;12,93;1231,764068;2,362248;39,934032;average;coarse microscopic;decomposition
1106968,4966;13,47;1,19;1005,583659;2,382484;15,750011;average;coarse visible;decomposition
59069,9688;2,45;1,19;1483,636885;2,405460;19,762288;average;coarse visible;decomposition
0,0849;13,29;8,15;1276,520925;2,366657;43,894910;average;coarse microscopic;decomposition
850856,5703;25,00;2,79;1058,319837;2,348625;8,035128;average;coarse visible;decomposition
604525,1009;2,49;5,27;1066,690003;2,383083;37,999931;average;coarse visible;decomposition
0,0849;0,40;8,96;1332,151737;2,376123;27,336790;average;fine-dispersed ultramicroscopic;decomposition
8357,7080;25,00;8,19;1316,266332;2,323660;47,107522;good;coarse visible;decomposition
442793,5419;12,91;10,82;1092,327840;2,359676;24,863286;average;coarse visible;decomposition
393921,6699;25,00;1,19;1090,749733;2,349338;13,204758;average;coarse visible;decomposition
0,0849;1,25;8,40;1064,544558;2,357265;47,735654;average;coarse visible;decomposition
0,0849;25,00;6,29;901,509634;2,390523;13,040891;good;coarse visible;decomposition
291025,0730;-11,13;1,19;755,985980;2,361005;37,477262;good;coarse visible;decomposition
596488,6139;16,20;1,19;1181,856955;2,360763;57,177626;average;coarse visible;decomposition
0,0849;20,63;3,08;860,863071;2,364275;16,999840;average;coarse visible;condensation
0,0849;11,61;6,41;1894,783699;2,381934;15,799305;average;coarse visible;condensation
0,0849;25,00;6,07;1547,546461;2,395897;12,583123;good;coarse visible;decomposition
0,0849;15,71;3,16;1442,832745;2,374921;19,125495;average;coarse visible;decomposition
